Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,fDOM QSU,fDOM RFU,Turbidity FNU,TSS mg/L,Battery V,Cable Pwr V
9/22/2020,10:30:00,0,ND,109.75,34.34,0.01,0,2.55,0
9/22/2020,10:45:00,0,ND,100.81,31.48,0.15,0,2.56,0
9/22/2020,11:00:00,0,ND,108.95,34.08,0.01,0,2.55,0
9/22/2020,11:15:00,0,ND,110.02,34.42,-0.05,0,2.56,0
9/22/2020,11:30:00,0,ND,109.49,34.25,0.1,0,2.56,0
9/22/2020,11:45:00,0,ND,109.99,34.41,-0.04,0,2.56,0
9/22/2020,12:00:00,0,ND,109.99,34.41,-0.07,0,2.56,0
9/22/2020,12:15:00,0,ND,109.84,34.36,0.03,0,2.56,0
9/22/2020,12:30:00,0,ND,109.5,34.26,0.08,0,2.56,0
9/22/2020,12:45:00,0,ND,109.46,34.24,-0.04,0,2.56,0
9/22/2020,13:00:00,0,ND,109.32,34.2,0,0,2.56,0
9/22/2020,13:15:00,0,ND,108.82,34.04,-0.06,0,2.56,0
9/22/2020,13:30:00,0,ND,108.34,33.89,-0.06,0,2.56,0
9/22/2020,13:45:00,0,ND,108.24,33.85,0.02,0,2.57,0
9/22/2020,14:00:00,0,ND,107.74,33.69,0.22,0,2.56,0
9/22/2020,14:15:00,0,ND,108.56,33.96,0.03,0,2.57,0
9/22/2020,14:30:00,0,ND,108.09,33.8,-0.05,0,2.56,0
9/22/2020,14:45:00,0,ND,107.51,33.62,-0.03,0,2.57,0
9/22/2020,15:00:00,0,ND,107.28,33.55,0.18,0,2.57,0
9/22/2020,15:15:00,0,ND,107.45,33.6,-0.07,0,2.57,0
9/22/2020,15:30:00,0,ND,107.53,33.63,0.12,0,2.57,0
9/22/2020,15:45:00,0,ND,106.67,33.35,0.04,0,2.57,0
9/22/2020,16:00:00,0,ND,106.93,33.43,-0.07,0,2.57,0
9/22/2020,16:15:00,0,ND,106.7,33.36,-0.09,0,2.57,0
9/22/2020,16:30:00,0,ND,106.9,33.43,-0.14,0,2.57,0
9/22/2020,16:45:00,0,ND,107.09,33.49,-0.06,0,2.57,0
9/22/2020,17:00:00,0,ND,107.13,33.5,-0.11,0,2.57,0
9/22/2020,17:15:00,0,ND,107.09,33.49,-0.1,0,2.56,0
9/22/2020,17:30:00,0,ND,107.32,33.56,-0.08,0,2.57,0
9/22/2020,17:45:00,0,ND,107.47,33.61,-0.04,0,2.57,0
9/22/2020,18:00:00,0,ND,107.43,33.6,-0.13,0,2.56,0
9/22/2020,18:15:00,0,ND,107.53,33.63,-0.04,0,2.56,0
9/22/2020,18:30:00,0,ND,107.42,33.59,-0.05,0,2.56,0
9/22/2020,18:45:00,0,ND,103.48,32.33,-0.04,0,2.57,0
9/22/2020,19:00:00,0,ND,107.27,33.54,-0.04,0,2.56,0
9/22/2020,19:15:00,0,ND,107.68,33.67,-0.01,0,2.56,0
9/22/2020,19:30:00,0,ND,107.83,33.72,0.28,0,2.56,0
9/22/2020,19:45:00,0,ND,107.73,33.69,-0.01,0,2.56,0
9/22/2020,20:00:00,0,ND,107.73,33.69,-0.05,0,2.56,0
9/22/2020,20:15:00,0,ND,107.86,33.73,0.07,0,2.56,0
9/22/2020,20:30:00,0,ND,107.9,33.75,0.05,0,2.56,0
9/22/2020,20:45:00,0,ND,107.94,33.76,0.06,0,2.56,0
9/22/2020,21:00:00,0,ND,107.96,33.76,-0.04,0,2.55,0
9/22/2020,21:15:00,0,ND,108.05,33.79,0.02,0,2.55,0
9/22/2020,21:30:00,0,ND,108.2,33.84,0.04,0,2.55,0
9/22/2020,21:45:00,0,ND,108.29,33.87,0.05,0,2.56,0
9/22/2020,22:00:00,0,ND,108.33,33.88,0.01,0,2.55,0
9/22/2020,22:15:00,0,ND,108.29,33.87,-0.02,0,2.55,0
9/22/2020,22:30:00,0,ND,108.52,33.94,0.12,0,2.55,0
9/22/2020,22:45:00,0,ND,108.59,33.97,0.24,0,2.55,0
9/22/2020,23:00:00,0,ND,108.56,33.95,0.57,0,2.55,0
9/22/2020,23:15:00,0,ND,108.51,33.94,0.02,0,2.55,0
9/22/2020,23:30:00,0,ND,108.54,33.95,0.1,0,2.54,0
9/22/2020,23:45:00,0,ND,108.65,33.98,0.08,0,2.55,0
9/23/2020,0:00:00,0,ND,108.72,34.01,0.34,0,2.54,0
9/23/2020,0:15:00,0,ND,108.64,33.98,0.52,0,2.55,0
9/23/2020,0:30:00,0,ND,108.66,33.99,0.27,0,2.55,0
9/23/2020,0:45:00,0,ND,108.79,34.03,0.32,0,2.55,0
9/23/2020,1:00:00,0,ND,108.77,34.02,0.39,0,2.55,0
9/23/2020,1:15:00,0,ND,108.87,34.05,0.24,0,2.55,0
9/23/2020,1:30:00,0,ND,108.89,34.06,0.51,0,2.55,0
9/23/2020,1:45:00,0,ND,108.91,34.07,0.47,0,2.55,0
9/23/2020,2:00:00,0,ND,108.87,34.06,0.71,0,2.55,0
9/23/2020,2:15:00,0,ND,108.94,34.08,0.07,0,2.54,0
9/23/2020,2:30:00,0,ND,77.37,24,0.13,0,2.55,0
9/23/2020,2:45:00,0,ND,76.86,23.83,0.29,0,2.55,0
9/23/2020,3:00:00,0,ND,77.13,23.92,0.24,0,2.55,0
9/23/2020,3:15:00,0,ND,108.88,34.06,0.66,0,2.55,0
9/23/2020,3:30:00,0,ND,108.93,34.07,0.44,0,2.55,0
9/23/2020,3:45:00,0,ND,109.06,34.12,0.12,0,2.55,0
9/23/2020,4:00:00,0,ND,109.16,34.15,0.26,0,2.54,0
9/23/2020,4:15:00,0,ND,109.16,34.15,0.09,0,2.55,0
9/23/2020,4:30:00,0,ND,109.15,34.15,0.26,0,2.55,0
9/23/2020,4:45:00,0,ND,109.35,34.21,0.05,0,2.55,0
9/23/2020,5:00:00,0,ND,109.24,34.17,0.15,0,2.54,0
9/23/2020,5:15:00,0,ND,109.07,34.12,0.29,0,2.55,0
9/23/2020,5:30:00,0,ND,109.39,34.22,0.55,0,2.54,0
9/23/2020,5:45:00,0,ND,109.39,34.22,0.57,0,2.54,0
9/23/2020,6:00:00,0,ND,109.39,34.22,0.01,0,2.54,0
9/23/2020,6:15:00,0,ND,109.37,34.21,0.12,0,2.54,0
9/23/2020,6:30:00,0,ND,109.18,34.15,0.06,0,2.54,0
9/23/2020,6:45:00,0,ND,109.25,34.18,-0.05,0,2.55,0
9/23/2020,7:00:00,0,ND,109.53,34.27,-0.06,0,2.54,0
9/23/2020,7:15:00,0,ND,109.36,34.21,-0.03,0,2.54,0
9/23/2020,7:30:00,0,ND,109.46,34.24,-0.05,0,2.54,0
9/23/2020,7:45:00,0,ND,109.5,34.26,-0.04,0,2.55,0
9/23/2020,8:00:00,0,ND,109.51,34.26,0.04,0,2.54,0
9/23/2020,8:15:00,0,ND,109.75,34.34,-0.08,0,2.54,0
